borough,age,date,asthma_er_count,ppt
Bronx,Ages 0-4 years,2016-05-27,13,0
Bronx,Ages 0-4 years,2016-05-28,10,0
Bronx,Ages 0-4 years,2016-05-29,11,0
Bronx,Ages 0-4 years,2016-05-30,6,41.954485206342525
Bronx,Ages 0-4 years,2016-05-31,11,2.556614316290666e-4
Bronx,Ages 0-4 years,2016-06-01,6,0
Bronx,Ages 0-4 years,2016-06-02,11,0
Bronx,Ages 0-4 years,2016-06-03,3,0.38305188224902714
Bronx,Ages 0-4 years,2016-06-04,0,0.68426603525922
Bronx,Ages 0-4 years,2016-06-05,7,0.3061604660460657
Bronx,Ages 0-4 years,2016-06-06,4,13.589569539886345
Bronx,Ages 0-4 years,2016-06-07,8,0
Bronx,Ages 0-4 years,2016-06-08,3,0.4106035044964745
Bronx,Ages 0-4 years,2016-06-09,4,17.969397420415973
Bronx,Ages 0-4 years,2016-06-10,4,0
Bronx,Ages 0-4 years,2016-06-11,4,0
Bronx,Ages 0-4 years,2016-06-12,1,0
Bronx,Ages 0-4 years,2016-06-13,5,0
Bronx,Ages 0-4 years,2016-06-14,5,0
Bronx,Ages 0-4 years,2016-06-15,7,0
Bronx,Ages 0-4 years,2016-06-16,7,0.13633936105177186
Bronx,Ages 0-4 years,2016-06-17,7,0
Bronx,Ages 0-4 years,2016-06-18,4,0
Bronx,Ages 0-4 years,2016-06-19,9,0
Bronx,Ages 0-4 years,2016-06-20,9,0
Bronx,Ages 0-4 years,2016-06-21,8,0.08893327671501103
Bronx,Ages 0-4 years,2016-06-22,7,1.3565761965173638e-4
Bronx,Ages 0-4 years,2016-06-23,8,0
Bronx,Ages 0-4 years,2016-06-24,4,0.054013281003687616
Bronx,Ages 0-4 years,2016-06-25,11,0
Bronx,Ages 0-4 years,2016-06-26,8,0
Bronx,Ages 0-4 years,2016-06-27,4,0
Bronx,Ages 0-4 years,2016-06-28,10,12.050311777162687
Bronx,Ages 0-4 years,2016-06-29,2,3.1669871893628314
Bronx,Ages 0-4 years,2016-06-30,8,0
Bronx,Ages 0-4 years,2016-07-01,8,0
Bronx,Ages 0-4 years,2016-07-02,6,13.130131197147723
Bronx,Ages 0-4 years,2016-07-03,4,0
Bronx,Ages 0-4 years,2016-07-04,9,1.4135506177705964e-4
Bronx,Ages 0-4 years,2016-07-05,4,24.69239011483045
Bronx,Ages 0-4 years,2016-07-06,6,0
Bronx,Ages 0-4 years,2016-07-07,4,0
Bronx,Ages 0-4 years,2016-07-08,7,2.2705798441732687
Bronx,Ages 0-4 years,2016-07-09,4,4.53724150532295
Bronx,Ages 0-4 years,2016-07-10,2,7.187109252967861
Bronx,Ages 0-4 years,2016-07-11,6,0
Bronx,Ages 0-4 years,2016-07-12,3,0
Bronx,Ages 0-4 years,2016-07-13,3,0
Bronx,Ages 0-4 years,2016-07-14,4,1.7473662936849292
Bronx,Ages 0-4 years,2016-07-15,3,6.556749448751062
Bronx,Ages 0-4 years,2016-07-16,2,0
Bronx,Ages 0-4 years,2016-07-17,4,3.649768605306397
Bronx,Ages 0-4 years,2016-07-18,6,0
Bronx,Ages 0-4 years,2016-07-19,10,4.169664634144423
Bronx,Ages 0-4 years,2016-07-20,10,0
Bronx,Ages 0-4 years,2016-07-21,6,0
Bronx,Ages 0-4 years,2016-07-22,3,0
Bronx,Ages 0-4 years,2016-07-23,5,0
Bronx,Ages 0-4 years,2016-07-24,5,0
Bronx,Ages 0-4 years,2016-07-25,8,0.10483792751073191
Bronx,Ages 0-4 years,2016-07-26,8,36.58494411736558
Bronx,Ages 0-4 years,2016-07-27,2,0
Bronx,Ages 0-4 years,2016-07-28,4,0
Bronx,Ages 0-4 years,2016-07-29,8,16.729125572853366
Bronx,Ages 0-4 years,2016-07-30,4,9.92298003999686
Bronx,Ages 0-4 years,2016-07-31,8,15.166614167761782
Bronx,Ages 0-4 years,2016-08-01,10,11.53175222666162
Bronx,Ages 0-4 years,2016-08-02,6,0
Bronx,Ages 0-4 years,2016-08-03,3,0
Bronx,Ages 0-4 years,2016-08-04,10,0
Bronx,Ages 0-4 years,2016-08-05,3,0
Bronx,Ages 0-4 years,2016-08-06,8,0
Bronx,Ages 0-4 years,2016-08-07,13,6.2399394714525664
Bronx,Ages 0-4 years,2016-08-08,8,0
Bronx,Ages 0-4 years,2016-08-09,10,0
Bronx,Ages 0-4 years,2016-08-10,11,0
Bronx,Ages 0-4 years,2016-08-11,5,1.9632103381776247
Bronx,Ages 0-4 years,2016-08-12,6,8.581028031104118
Bronx,Ages 0-4 years,2016-08-13,4,0.06701507767714794
Bronx,Ages 0-4 years,2016-08-14,9,0.002802877666945263
Bronx,Ages 0-4 years,2016-08-15,4,3.5975917980653986
