borough,date,asthma_er_count,ppt,pm25
Brooklyn,2016-10-15,102,0,NA
Brooklyn,2016-10-16,101,0,NA
Brooklyn,2016-10-17,127,0,NA
Brooklyn,2016-10-18,130,0,NA
Brooklyn,2016-10-19,113,0,NA
Brooklyn,2016-10-20,92,0,NA
Brooklyn,2016-10-21,81,0,NA
Brooklyn,2016-10-22,94,35.918429094267815,NA
Brooklyn,2016-10-23,100,4.96107002505687,NA
Brooklyn,2016-10-24,137,0,NA
Brooklyn,2016-10-25,100,0,NA
Brooklyn,2016-10-26,94,0,NA
Brooklyn,2016-10-27,94,0,NA
Brooklyn,2016-10-28,95,15.789035246024126,NA
Brooklyn,2016-10-29,86,0,NA
Brooklyn,2016-10-30,82,0,NA
Brooklyn,2016-10-31,99,9.70637564849442,NA
Brooklyn,2016-11-01,125,0,NA
Brooklyn,2016-11-02,99,0,NA
Brooklyn,2016-11-03,125,0,NA
Brooklyn,2016-11-04,105,0.011834181541693014,NA
Brooklyn,2016-11-05,93,0,NA
Brooklyn,2016-11-06,95,0,NA
Brooklyn,2016-11-07,127,0,NA
Brooklyn,2016-11-08,97,0,NA
Brooklyn,2016-11-09,114,0,NA
Brooklyn,2016-11-10,104,2.18822244457441,NA
Brooklyn,2016-11-11,89,0,NA
Brooklyn,2016-11-12,97,0,NA
Brooklyn,2016-11-13,86,0,NA
Brooklyn,2016-11-14,140,0,NA
Brooklyn,2016-11-15,93,12.004774228844228,NA
Brooklyn,2016-11-16,96,30.664560390042542,NA
Brooklyn,2016-11-17,121,0,NA
Brooklyn,2016-11-18,99,0,NA
Brooklyn,2016-11-19,94,0,NA
Brooklyn,2016-11-20,94,10.38903190403311,NA
Brooklyn,2016-11-21,90,0,NA
Brooklyn,2016-11-22,86,0,NA
Brooklyn,2016-11-23,76,0,NA
Brooklyn,2016-11-24,67,0,NA
Brooklyn,2016-11-25,94,0.9183281411940653,NA
Brooklyn,2016-11-26,100,0.14469030509961125,NA
Brooklyn,2016-11-27,103,0,NA
Brooklyn,2016-11-28,111,0,NA
Brooklyn,2016-11-29,101,5.256719859393718e-4,NA
Brooklyn,2016-11-30,138,43.56803617237662,NA
Brooklyn,2016-12-01,111,18.46466303578756,NA
Brooklyn,2016-12-02,88,0,NA
Brooklyn,2016-12-03,82,0,NA
Brooklyn,2016-12-04,84,0,NA
Brooklyn,2016-12-05,143,4.758388545912583,NA
Brooklyn,2016-12-06,86,0.09820425670772427,NA
Brooklyn,2016-12-07,130,9.71536496719665,NA
Brooklyn,2016-12-08,114,0.28831474470376145,NA
Brooklyn,2016-12-09,95,0,NA
Brooklyn,2016-12-10,91,0,NA
Brooklyn,2016-12-11,83,0,NA
Brooklyn,2016-12-12,133,11.952750443635301,NA
Brooklyn,2016-12-13,127,0.9300565282158669,NA
Brooklyn,2016-12-14,118,0.6540595947013822,NA
Brooklyn,2016-12-15,113,1.9301268188088683e-4,NA
Brooklyn,2016-12-16,80,0,NA
Brooklyn,2016-12-17,58,7.496160142993495,NA
Brooklyn,2016-12-18,107,15.527290059668772,NA
Brooklyn,2016-12-19,110,0.5619754773222577,NA
Brooklyn,2016-12-20,107,0,NA
Brooklyn,2016-12-21,97,0,NA
Brooklyn,2016-12-22,109,0,NA
Brooklyn,2016-12-23,73,0,NA
Brooklyn,2016-12-24,67,2.016174971362801,NA
Brooklyn,2016-12-25,79,13.147316498531502,NA
Brooklyn,2016-12-26,99,0,NA
Brooklyn,2016-12-27,130,2.0735091518295538e-4,NA
Brooklyn,2016-12-28,98,0,NA
Brooklyn,2016-12-29,114,0,NA
Brooklyn,2016-12-30,80,8.237649779871976,NA
Brooklyn,2016-12-31,75,0,NA
Brooklyn,2017-01-01,79,0,NA
Brooklyn,2017-01-02,113,0.126103094914752,NA
Brooklyn,2017-01-03,98,8.349659723276368,NA
Brooklyn,2017-01-04,112,10.227598324979256,NA
Brooklyn,2017-01-05,88,0,NA
Brooklyn,2017-01-06,70,1.4758957218141342,NA
Brooklyn,2017-01-07,56,6.0206817522235766e-6,NA
Brooklyn,2017-01-08,67,10.998777224169972,NA
Brooklyn,2017-01-09,107,0,NA
Brooklyn,2017-01-10,110,0,NA
Brooklyn,2017-01-11,89,6.293030299340655,NA
Brooklyn,2017-01-12,101,7.768058414441778,NA
Brooklyn,2017-01-13,98,0,NA
Brooklyn,2017-01-14,71,0,NA
Brooklyn,2017-01-15,86,5.309221848355238,NA
Brooklyn,2017-01-16,107,0,NA
Brooklyn,2017-01-17,106,0,NA
Brooklyn,2017-01-18,104,14.252809018312993,NA
Brooklyn,2017-01-19,94,0.06749935204654071,NA
Brooklyn,2017-01-20,97,1.104694383647649e-5,NA
Brooklyn,2017-01-21,86,2.9050897513189335,NA
Brooklyn,2017-01-22,79,0,NA
Brooklyn,2017-01-23,108,0.9789791888887358,NA
Brooklyn,2017-01-24,96,37.774371260626104,NA
Brooklyn,2017-01-25,99,17.779364112556113,NA
Brooklyn,2017-01-26,85,0,NA
Brooklyn,2017-01-27,87,1.3481899962167596,NA
Brooklyn,2017-01-28,84,0,NA
Brooklyn,2017-01-29,85,0,NA
Brooklyn,2017-01-30,81,0,NA
Brooklyn,2017-01-31,102,0,NA
Brooklyn,2017-02-01,102,1.7391356385511303,NA
Brooklyn,2017-02-02,101,0,NA
Brooklyn,2017-02-03,122,0,NA
Brooklyn,2017-02-04,77,0,NA
Brooklyn,2017-02-05,82,0,NA
Brooklyn,2017-02-06,117,0,NA
