borough,date,asthma_er_count,ppt
Manhattan,2018-11-27,55,22.086748702610727
Manhattan,2018-11-28,43,0
Manhattan,2018-11-29,39,0
Manhattan,2018-11-30,50,0
Manhattan,2018-12-01,37,0.5125683588977665
Manhattan,2018-12-02,37,14.577320686430804
Manhattan,2018-12-03,43,7.196133010719641
Manhattan,2018-12-04,58,0
Manhattan,2018-12-05,55,0
Manhattan,2018-12-06,48,0
Manhattan,2018-12-07,37,0
Manhattan,2018-12-08,39,0
Manhattan,2018-12-09,44,0
Manhattan,2018-12-10,52,0
Manhattan,2018-12-11,42,0
Manhattan,2018-12-12,48,0
Manhattan,2018-12-13,44,0
Manhattan,2018-12-14,40,0.12552404679555546
Manhattan,2018-12-15,34,6.985662866160679
Manhattan,2018-12-16,37,12.576149534079946
Manhattan,2018-12-17,43,22.54708800167885
Manhattan,2018-12-18,47,0
Manhattan,2018-12-19,47,0
Manhattan,2018-12-20,44,0
Manhattan,2018-12-21,56,35.90907243951892
Manhattan,2018-12-22,40,14.13520424494668
Manhattan,2018-12-23,44,0
Manhattan,2018-12-24,39,2.0318037145123675
Manhattan,2018-12-25,41,0.01748858451648222
Manhattan,2018-12-26,49,0
Manhattan,2018-12-27,52,0
Manhattan,2018-12-28,41,8.92594831183627
Manhattan,2018-12-29,52,20.76294492851826
Manhattan,2018-12-30,49,0
Manhattan,2018-12-31,40,0
Manhattan,2019-01-01,43,31.78158883435797
Manhattan,2019-01-02,60,0
Manhattan,2019-01-03,51,0
Manhattan,2019-01-04,50,0
Manhattan,2019-01-05,38,6.715912590044453
Manhattan,2019-01-06,50,6.732459052024634
Manhattan,2019-01-07,49,0
Manhattan,2019-01-08,52,1.279782554744476
Manhattan,2019-01-09,41,4.151570893725808
Manhattan,2019-01-10,51,0
Manhattan,2019-01-11,48,0
Manhattan,2019-01-12,37,0
Manhattan,2019-01-13,46,0
Manhattan,2019-01-14,40,0
Manhattan,2019-01-15,46,0
Manhattan,2019-01-16,21,0
Manhattan,2019-01-17,49,0
Manhattan,2019-01-18,35,0.7349400311307503
Manhattan,2019-01-19,47,0
Manhattan,2019-01-20,43,28.393069394785083
Manhattan,2019-01-21,38,3.7228089147031262
Manhattan,2019-01-22,52,0
Manhattan,2019-01-23,62,0
Manhattan,2019-01-24,46,3.064582192343911
Manhattan,2019-01-25,46,32.043573772788086
Manhattan,2019-01-26,44,0
Manhattan,2019-01-27,39,0
Manhattan,2019-01-28,55,0
Manhattan,2019-01-29,54,0
Manhattan,2019-01-30,45,6.960291248481303
Manhattan,2019-01-31,43,0.10314497499263497
Manhattan,2019-02-01,45,0
Manhattan,2019-02-02,42,0
Manhattan,2019-02-03,29,0
Manhattan,2019-02-04,63,0
Manhattan,2019-02-05,36,0
Manhattan,2019-02-06,39,0
Manhattan,2019-02-07,32,13.984258825592697
Manhattan,2019-02-08,37,8.186597152276253
Manhattan,2019-02-09,36,1.050052131355189
Manhattan,2019-02-10,48,0
Manhattan,2019-02-11,59,0
Manhattan,2019-02-12,37,0
Manhattan,2019-02-13,35,23.709875873740305
Manhattan,2019-02-14,37,0.0037718121016917985
Manhattan,2019-02-15,32,0
Manhattan,2019-02-16,33,0
Manhattan,2019-02-17,34,0
Manhattan,2019-02-18,39,3.6943371091521593
Manhattan,2019-02-19,44,0
Manhattan,2019-02-20,44,0
Manhattan,2019-02-21,33,20.015829868033922
Manhattan,2019-02-22,33,0
Manhattan,2019-02-23,32,0
Manhattan,2019-02-24,42,14.412110610640386
Manhattan,2019-02-25,36,4.945366172517483
Manhattan,2019-02-26,40,0
Manhattan,2019-02-27,37,0
Manhattan,2019-02-28,45,0.11834560976202063
Manhattan,2019-03-01,33,1.6601389511783085
Manhattan,2019-03-02,39,12.084696990818621
Manhattan,2019-03-03,35,0.05676006805429021
Manhattan,2019-03-04,37,23.554058534835185
Manhattan,2019-03-05,39,0
Manhattan,2019-03-06,35,0
Manhattan,2019-03-07,35,0
Manhattan,2019-03-08,36,0
Manhattan,2019-03-09,35,0
Manhattan,2019-03-10,59,9.069796171011788
Manhattan,2019-03-11,52,5.867045444594077
Manhattan,2019-03-12,48,0
Manhattan,2019-03-13,48,0
Manhattan,2019-03-14,40,0
Manhattan,2019-03-15,36,0.07498729658420057
Manhattan,2019-03-16,39,10.17184084364812
Manhattan,2019-03-17,45,0
Manhattan,2019-03-18,38,0
Manhattan,2019-03-19,49,0
Manhattan,2019-03-20,47,0
Manhattan,2019-03-21,47,0.07174039666517436
Manhattan,2019-03-22,46,34.96035488206938
Manhattan,2019-03-23,32,1.0486794301778333
Manhattan,2019-03-24,39,0
Manhattan,2019-03-25,64,0
Manhattan,2019-03-26,42,0
Manhattan,2019-03-27,41,0
Manhattan,2019-03-28,30,0
Manhattan,2019-03-29,37,0
Manhattan,2019-03-30,34,0
Manhattan,2019-03-31,45,0
Manhattan,2019-04-01,50,1.7497455153356607
Manhattan,2019-04-02,45,0
Manhattan,2019-04-03,40,0.044392411777419184
Manhattan,2019-04-04,51,0
Manhattan,2019-04-05,32,0
Manhattan,2019-04-06,39,4.582555888063503
Manhattan,2019-04-07,26,0
Manhattan,2019-04-08,50,6.563155575030481
Manhattan,2019-04-09,43,0
Manhattan,2019-04-10,32,1.2591286392434033
Manhattan,2019-04-11,39,0
Manhattan,2019-04-12,45,0
Manhattan,2019-04-13,47,20.368473849819015
Manhattan,2019-04-14,35,0.021851974510425157
Manhattan,2019-04-15,42,20.842916859811687
